case_reference,referral_date,clean_summary,summary,Service,keyword_group,tier_1,tier_2,Tier_2_full_names,tier2_consolidated_description,num_tier_1,num_tier_2,summary_length,summary_word_count,keywords_list,sample_weight,label_issue_count,has_label_issue,cleanlab_issue_count,cleanlab_avg_quality,cleanlab_min_quality,cleanlab_has_issue
CFPB-2023-00001,2024-02-10,Company provided generic response without addressing specific concerns,"Consumer summary:
After discovering account breach on my vehicle loan or lease with Great Lakes, I immediately contacted them to dispute. The company's investigation was inadequate and their conclusion was incorrect. I provided substantial documentation supporting my position which they dismissed. Their refusal to properly investigate this matter is causing me significant harm.

Provider response:
Company provided generic response without addressing specific concerns

Resolution requested by consumer:
Update credit report to reflect accurate information

Information provided by the CFPB:
Received written complaint from consumer. Provider's responses have been inadequate. Consumer seeks fair resolution per consumer protection regulations. Case forwarded to provider for formal response.",Vehicle loan or lease,"['Fraud and security', 'Consumer protection', 'Security and fraud', 'Billing and fees']",Fraud and security,"Account breach, Fraudulent charges","Account accessed by unauthorized party, Unauthorized charges not removed from account",Account breach Fraudulent charges,1,2,795,104,"['Account breach', 'Fraudulent charges']",1.914760182010607,2,True,1,0.8596077388065322,0.5067797116682698,True
CFPB-2023-00002,2023-08-19,Company offered settlement but consumer finds it inadequate,"Consumer summary:
Citizens Bank has violated my rights as a consumer regarding my money transfer or virtual currency. Unable to access funds occurred without proper notification or authorization. I have maintained records of all communications showing their failure to address my concerns. The company continues to ignore my requests for resolution and proper explanation.

Provider response:
Company offered settlement but consumer finds it inadequate

Resolution requested by consumer:
Remove all incorrect charges and fees from my account

Information provided by the CFPB:
Received written complaint from consumer. Provider's responses have been inadequate. Consumer seeks fair resolution per consumer protection regulations. Case forwarded to provider for formal response.",Money transfer or virtual currency,"['Account management', 'Consumer protection']",Account management,"Unable to access funds, Account closure denied","Funds frozen or held without explanation, Unable to close account despite multiple requests",Unable to access funds Account closure denied,1,2,777,107,"['Unable to access funds', 'Account closure denied']",0.80266378250938,0,False,2,0.964550547517408,0.794761481095075,True
CFPB-2023-00003,2023-07-13,Company offered settlement but consumer finds it inadequate,"Consumer summary:
This complaint concerns incorrect payment reversal with Navy Federal Credit Union. My mortgage has been impacted by their failure to properly handle this matter. I submitted written requests and called numerous times. Each representative gave different answers and no one took ownership of resolving the issue. The company's lack of accountability is unacceptable.

Provider response:
Company offered settlement but consumer finds it inadequate

Resolution requested by consumer:
Honor the original terms and conditions agreed upon

Information provided by the CFPB:
Complaint filed regarding mortgage account management. Consumer provided comprehensive records. Provider has not demonstrated compliance with applicable regulations. Formal investigation may be warranted pending provider response.",Mortgage,"['Payment processing', 'Consumer protection']",Payment processing,"Incorrect payment reversal, Payment not posted","Valid payment reversed without authorization, Payment made but not reflected in account",Incorrect payment reversal Payment not posted,1,2,815,108,"['Incorrect payment reversal', 'Payment not posted']",0.742187869573488,2,True,2,0.8879478736069251,0.04898341881081647,True
CFPB-2023-00004,2024-04-04,Company indicates they are investigating and will respond within 30 days,"Consumer summary:
USAA has violated my rights as a consumer regarding my consumer loan. Account breach occurred without proper notification or authorization. I have maintained records of all communications showing their failure to address my concerns. The company continues to ignore my requests for resolution and proper explanation.

Provider response:
Company indicates they are investigating and will respond within 30 days

Resolution requested by consumer:
Provide full refund for unauthorized or disputed charges

Information provided by the CFPB:
Complaint received via online portal. Consumer has documented evidence of account breach. Provider has been unresponsive to previous inquiries. Referred to provider's complaint department with 15 business day resolution period.",Consumer loan,"['Fraud and security', 'Consumer protection', 'Security and fraud', 'Billing and fees']",Fraud and security,"Account breach, Data compromise, Fraudulent charges","Account accessed by unauthorized party, Personal data compromised due to company breach, Unauthorized charges not removed from account",Account breach Data compromise Fraudulent charges,1,3,782,108,"['Account breach', 'Data compromise', 'Fraudulent charges']",1.404013315767585,2,True,1,0.8718848136025521,0.055377263544106624,True
CFPB-2023-00005,2025-01-18,Company claims no record of consumer's previous complaints exists,"Consumer summary:
I am seeking resolution for misapplied payment with Bank of America on my credit card or prepaid card. The company has failed to honor their commitments and obligations. Multiple complaints to their customer service department have gone unresolved. I have exhausted all internal dispute mechanisms with no satisfactory outcome.

Provider response:
Company claims no record of consumer's previous complaints exists

Resolution requested by consumer:
Compensate for damages caused by company's mishandling

Information provided by the CFPB:
Complaint filed regarding credit card or prepaid card account management. Consumer provided comprehensive records. Provider has not demonstrated compliance with applicable regulations. Formal investigation may be warranted pending provider response.",Credit card or prepaid card,"['Payment processing', 'Consumer protection']",Payment processing,"Misapplied payment, Autopay malfunction","Payment applied to wrong account or balance, Automatic payment failed or charged incorrectly",Misapplied payment Autopay malfunction,1,2,806,108,"['Misapplied payment', 'Autopay malfunction']",1.855682550394779,2,True,1,0.9190167175765528,0.10226356329944279,True
CFPB-2023-00006,2023-04-12,Company refuses to provide documentation requested by consumer,"Consumer summary:
Huntington Bank has violated my rights as a consumer regarding my mortgage. Unable to access funds occurred without proper notification or authorization. I have maintained records of all communications showing their failure to address my concerns. The company continues to ignore my requests for resolution and proper explanation.

Provider response:
Company refuses to provide documentation requested by consumer

Resolution requested by consumer:
Provide detailed explanation and documentation of all actions taken

Information provided by the CFPB:
Consumer alleges provider violated consumer protection statutes. Documentation supports consumer's position. Provider must respond with substantive resolution proposal. Consumer advised of rights and complaint process timeline.",Mortgage,"['Account management', 'Consumer protection']",Account management,"Unable to access funds, Unauthorized account opening, Missing statements","Funds frozen or held without explanation, Account opened without consumer authorization, Statements not received or accessible online",Unable to access funds Unauthorized account opening Missing statements,1,3,797,104,"['Unable to access funds', 'Unauthorized account opening', 'Missing statements']",0.766466575149572,0,False,2,0.9833980098154284,0.2118470627494021,True
CFPB-2023-00007,2024-03-24,Company claims account was properly managed according to terms and conditions,"Consumer summary:
This is regarding ongoing false debt claims issues with my payday loan or personal loan serviced by Ally Bank. I have made good faith efforts to resolve this matter directly with the company. They have been unresponsive to my concerns and continue practices that harm consumers. Their business conduct is unethical and potentially illegal.

Provider response:
Company claims account was properly managed according to terms and conditions

Resolution requested by consumer:
Remove all incorrect charges and fees from my account

Information provided by the CFPB:
Received consumer complaint via phone. Consumer has made reasonable efforts to resolve directly. Provider's actions appear inconsistent with industry standards and regulations. Referral sent requesting provider's formal position and resolution plan.",Payday loan or personal loan,"['Debt collection', 'Consumer protection']",Debt collection,"False debt claims, Abusive contact, Validation not provided","Collector claiming debt not owed by consumer, Harassment or threatening communication from collector, Debt validation requested but not provided",False debt claims Abusive contact Validation not provided,1,3,829,118,"['False debt claims', 'Abusive contact', 'Validation not provided']",1.42389242563741,1,True,2,0.9082707031021166,0.6098441183496083,True
CFPB-2023-00008,2025-03-26,Company claims no record of consumer's previous complaints exists,"Consumer summary:
I have been a customer of Huntington Bank for several years with my vehicle loan or lease. Misapplied payment issue has persisted despite multiple attempts to resolve. I contacted customer service on several occasions but received inconsistent information. The company representative promised to investigate but never followed up. I have documentation proving my position but the company refuses to acknowledge it.

Provider response:
Company claims no record of consumer's previous complaints exists

Resolution requested by consumer:
Update credit report to reflect accurate information

Information provided by the CFPB:
Received consumer complaint via phone. Consumer has made reasonable efforts to resolve directly. Provider's actions appear inconsistent with industry standards and regulations. Referral sent requesting provider's formal position and resolution plan.",Vehicle loan or lease,"['Payment processing', 'Consumer protection']",Payment processing,Misapplied payment,Payment applied to wrong account or balance,Misapplied payment,1,1,891,121,['Misapplied payment'],0.664228535593762,0,False,2,0.9596451608839209,0.47485602133264454,True
CFPB-2023-00009,2025-10-14,Company claims account was properly managed according to terms and conditions,"Consumer summary:
I purchased/opened credit card or prepaid card with Barclays expecting professional service. Instead, I encountered autopay malfunction that the company refuses to properly address. Their customer service is inadequate, their policies are unclear, and their resolution process is broken. I am left with no option but to file this formal complaint.

Provider response:
Company claims account was properly managed according to terms and conditions

Resolution requested by consumer:
Provide full refund for unauthorized or disputed charges

Information provided by the CFPB:
Received written complaint from consumer. Provider's responses have been inadequate. Consumer seeks fair resolution per consumer protection regulations. Case forwarded to provider for formal response.",Credit card or prepaid card,"['Payment processing', 'Consumer protection']",Payment processing,"Autopay malfunction, Payment not posted, Misapplied payment","Automatic payment failed or charged incorrectly, Payment made but not reflected in account, Payment applied to wrong account or balance",Autopay malfunction Payment not posted Misapplied payment,1,3,791,108,"['Autopay malfunction', 'Payment not posted', 'Misapplied payment']",1.529832924834783,0,False,2,0.9564104613720205,0.545487783423145,True
CFPB-2023-00010,2024-09-01,Company denies any wrongdoing and stands by their original decision,"Consumer summary:
American Express has mishandled my checking or savings account account resulting in account breach. When I discovered this problem, I contacted them immediately but was given the runaround. Different departments blamed each other and no one took responsibility. The situation has deteriorated due to their incompetence and lack of action.

Provider response:
Company denies any wrongdoing and stands by their original decision

Resolution requested by consumer:
Provide full refund for unauthorized or disputed charges

Information provided by the CFPB:
Received written complaint from consumer. Provider's responses have been inadequate. Consumer seeks fair resolution per consumer protection regulations. Case forwarded to provider for formal response.",Checking or savings account,"['Fraud and security', 'Consumer protection', 'Security and fraud']",Fraud and security,"Account breach, Identity theft not resolved","Account accessed by unauthorized party, Identity theft reported but company not cooperating",Account breach Identity theft not resolved,1,2,772,106,"['Account breach', 'Identity theft not resolved']",0.692197882528678,2,True,0,0.9502687514349493,0.18152392871597128,False
